# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C delay__IN1__hl__OUT__hl__ACQ_1 of XOR2D4 T202 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of XOR2D4 T203 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of XOR2D4 T204 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of XOR2D4 T205 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of XOR2D4 T206 W1
C leakage_power__ACQ_1 of XOR2D8 T207 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of XOR2D8 T208 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of XOR2D8 T209 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of XOR2D8 T210 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of XOR2D8 T211 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of XOR2D8 T212 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of XOR2D8 T213 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of XOR2D8 T214 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of XOR2D8 T215 W1
C leakage_power__ACQ_1 of BUFD16 T216 W1
C delay__IN__lh__OUT__lh__ACQ_1 of BUFD16 T217 W1
C delay__IN__hl__OUT__hl__ACQ_1 of BUFD16 T218 W1
C leakage_power__ACQ_1 of BUFD2 T219 W1
C delay__IN__lh__OUT__lh__ACQ_1 of BUFD2 T220 W1
C delay__IN__hl__OUT__hl__ACQ_1 of BUFD2 T221 W1
C leakage_power__ACQ_1 of BUFD4 T222 W1
C delay__IN__lh__OUT__lh__ACQ_1 of BUFD4 T223 W1
C delay__IN__hl__OUT__hl__ACQ_1 of BUFD4 T224 W1
C leakage_power__ACQ_1 of BUFD8 T225 W1
C delay__IN__lh__OUT__lh__ACQ_1 of BUFD8 T226 W1
C delay__IN__hl__OUT__hl__ACQ_1 of BUFD8 T227 W1
C leakage_power__ACQ_1 of INVD1 T228 W1
C delay__IN__lh__OUT__hl__ACQ_1 of INVD1 T229 W1
C delay__IN__hl__OUT__lh__ACQ_1 of INVD1 T230 W1
C leakage_power__ACQ_1 of INVD16 T231 W1
C delay__IN__lh__OUT__hl__ACQ_1 of INVD16 T232 W1
C delay__IN__hl__OUT__lh__ACQ_1 of INVD16 T233 W1
C leakage_power__ACQ_1 of INVD2 T234 W1
C delay__IN__lh__OUT__hl__ACQ_1 of INVD2 T235 W1
C delay__IN__hl__OUT__lh__ACQ_1 of INVD2 T236 W1
C leakage_power__ACQ_1 of INVD4 T237 W1
C delay__IN__lh__OUT__hl__ACQ_1 of INVD4 T238 W1
C delay__IN__hl__OUT__lh__ACQ_1 of INVD4 T239 W1
C leakage_power__ACQ_1 of INVD8 T240 W1
C delay__IN__lh__OUT__hl__ACQ_1 of INVD8 T241 W1
C delay__IN__hl__OUT__lh__ACQ_1 of INVD8 T242 W1
